"province","date_report","cases","cumulative_cases"
"Ontario","17-03-2020",12,189
"Ontario","18-03-2020",25,214
"Ontario","19-03-2020",44,258
"Ontario","20-03-2020",60,318
"Ontario","21-03-2020",59,377
"Ontario","22-03-2020",48,425
"Ontario","23-03-2020",78,503
"Ontario","24-03-2020",85,588
"Ontario","25-03-2020",100,688
"Ontario","26-03-2020",170,858
"Ontario","27-03-2020",135,993
"Ontario","28-03-2020",151,1144
"Ontario","29-03-2020",211,1355
"Ontario","30-03-2020",351,1706
"Ontario","31-03-2020",260,1966
"Ontario","01-04-2020",885,2851
"Ontario","02-04-2020",437,3288
"Ontario","03-04-2020",398,3686
"Ontario","04-04-2020",335,4021
"Ontario","05-04-2020",420,4441
"Ontario","06-04-2020",404,4845
"Ontario","07-04-2020",546,5391
"Ontario","08-04-2020",447,5838
"Ontario","09-04-2020",559,6397
"Ontario","10-04-2020",407,6804
"Ontario","11-04-2020",489,7293
"Ontario","12-04-2020",433,7726
"Ontario","13-04-2020",494,8220
"Ontario","14-04-2020",560,8780
"Ontario","15-04-2020",522,9302
"Ontario","16-04-2020",519,9821
"Ontario","17-04-2020",626,10447
"Ontario","18-04-2020",561,11008
"Quebec","25-01-2020",0,0
"Quebec","26-01-2020",0,0
"Quebec","27-01-2020",0,0
"Quebec","28-01-2020",0,0
"Quebec","29-01-2020",0,0
"Quebec","30-01-2020",0,0
"Quebec","31-01-2020",0,0
"Quebec","01-02-2020",0,0
"Quebec","02-02-2020",0,0
"Quebec","03-02-2020",0,0
"Quebec","04-02-2020",0,0
"Quebec","05-02-2020",0,0
"Quebec","06-02-2020",0,0
"Quebec","07-02-2020",0,0
"Quebec","08-02-2020",0,0
"Quebec","09-02-2020",0,0
"Quebec","10-02-2020",0,0
"Quebec","11-02-2020",0,0
"Quebec","12-02-2020",0,0
"Quebec","13-02-2020",0,0
"Quebec","14-02-2020",0,0
"Quebec","15-02-2020",0,0
"Quebec","16-02-2020",0,0
"Quebec","17-02-2020",0,0
"Quebec","18-02-2020",0,0
"Quebec","19-02-2020",0,0
"Quebec","20-02-2020",0,0
"Quebec","21-02-2020",0,0
"Quebec","22-02-2020",0,0
"Quebec","23-02-2020",0,0
"Quebec","24-02-2020",0,0
"Quebec","25-02-2020",0,0
"Quebec","26-02-2020",0,0
"Quebec","27-02-2020",1,1
"Quebec","28-02-2020",0,1
"Quebec","29-02-2020",0,1
"Quebec","01-03-2020",0,1
"Quebec","02-03-2020",0,1
"Quebec","03-03-2020",0,1
"Quebec","04-03-2020",0,1
"Quebec","05-03-2020",1,2
"Quebec","06-03-2020",1,3
"Quebec","07-03-2020",0,3
"Quebec","08-03-2020",1,4
"Quebec","09-03-2020",1,5
"Quebec","10-03-2020",0,5
"Quebec","11-03-2020",3,8
"Quebec","12-03-2020",9,17
"Quebec","13-03-2020",0,17
"Quebec","14-03-2020",7,24
"Quebec","15-03-2020",15,39
"Quebec","16-03-2020",11,50
"Quebec","17-03-2020",24,74
"Quebec","18-03-2020",20,94
"Quebec","19-03-2020",27,121
"Quebec","20-03-2020",18,139
"Quebec","21-03-2020",42,181
"Quebec","22-03-2020",38,219
"Quebec","23-03-2020",409,628
"Quebec","24-03-2020",412,1040
"Quebec","25-03-2020",299,1339
"Quebec","26-03-2020",290,1629
"Quebec","27-03-2020",392,2021
"Quebec","28-03-2020",477,2498
"Quebec","29-03-2020",342,2840
"Quebec","30-03-2020",590,3430
"Quebec","31-03-2020",732,4162
"Quebec","01-04-2020",449,4611
"Quebec","02-04-2020",907,5518
"Quebec","03-04-2020",583,6101
"Quebec","04-04-2020",896,6997
"Quebec","05-04-2020",947,7944
"Quebec","06-04-2020",636,8580
"Quebec","07-04-2020",760,9340
"Quebec","08-04-2020",691,10031
"Quebec","09-04-2020",881,10912
"Quebec","10-04-2020",765,11677
"Quebec","11-04-2020",615,12292
"Quebec","12-04-2020",554,12846
"Quebec","13-04-2020",711,13557
"Quebec","14-04-2020",691,14248
"Quebec","15-04-2020",612,14860
"Quebec","16-04-2020",997,15857
"Quebec","17-04-2020",941,16798
"Quebec","18-04-2020",723,17521
"Quebec","19-04-2020",835,18356
"Quebec","20-04-2020",961,19317
"Quebec","21-04-2020",806,20123
"Quebec","22-04-2020",838,20961
"Quebec","23-04-2020",873,21834
"Quebec","24-04-2020",774,22608
"Quebec","25-04-2020",659,23267
"Quebec","26-04-2020",840,24107
"Quebec","27-04-2020",875,24982
