appTitle,userName,date,score,Category,date_ex,processed_text,wordcount,Rating,User Experience,Bug Report,Feature Report
Lose It! - Calorie Counter,Sequoia Powers,"July 21, 2018",5,HEALTH_AND_FITNESS,2019-04-01,Easy to use  Ability to enter food in    is really helpful  My main food challenge is portion control  so this is perfect for me ,24.0,,1,,
Bank of America Mobile Banking,Monika Simonson,"March 19, 2019",5,FINANCE,2019-03-24,I  t want to be anywhere else but with,9.0,,,,
"Calm - Meditate, Sleep, Relax",Malcolm Guidry,"January 30, 2019",5,HEALTH_AND_FITNESS,2019-04-01,I work for a large law firm in and frequently go to  This me greatly in dealing with the stress that these ,22.0,,1,,
Bowmasters,Sabrina Bethea,"April 12, 2019",5,GAME_ACTION,2019-04-14,extremely fun  great way to pass the time,8.0,1,,,
Kahoot!,Cesar Corona,"October 27, 2018",4,EDUCATION,2019-03-08,I like but is very hard make the but is cool,11.0,1,,,
"Notepad - Notes with Reminder, ToDo, Sticky notes",,"December 18, 2018",5,LIFESTYLE,2019-03-24,good  exactly what I need  thank you ,7.0,1,,,
Tomb of the Mask,karena anerak,"March 27, 2019",1,GAME_ACTION,2019-04-07,i never write but  THIS GAME ,6.0,1,,,
Ms.Sibyl - See Future Me,ZzWatermelonJuicezZ,"March 24, 2019",1,LIFESTYLE,2019-03-24,This is the worst in the world it just money when you can rate i will come straight to this it is a fake too i know that i got an add then it and guess the freak what  it nowhere near what it like in the add  NOT HAPPY   ,50.0,,1,,
Photomath,senuke nuke,"March 31, 2019",5,EDUCATION,2019-04-21,this is perfect,3.0,1,,,
,Colby Jennings,"March 17, 2019",5,FINANCE,2019-05-01,easy to use,3.0,1,,,
"Calm - Meditate, Sleep, Relax",Tishonie Chaudion,"February 26, 2019",5,HEALTH_AND_FITNESS,2019-04-01,i love this Great start and meditation in,8.0,1,,,
Amazon Alexa,Tiger Lee,"March 11, 2019",1,MUSIC_AND_AUDIO,2019-05-09, T WORK AT ALL  ,4.0,1,,,
Bitmoji – Your Personal Emoji,Fine Ass Amy Fresh,"March 22, 2019",5,ENTERTAINMENT,2019-03-24,I love this ,3.0,1,,,
Photomath,sage powdrell,"April 28, 2019",5,EDUCATION,2019-05-09,i find it to be a very and efficient way to solve math on various and,16.0,,1,,
Tag with Ryan,Guyguy Kiamenga,"April 21, 2019",5,FAMILY,2019-05-09,It  s fun and a real on,7.0,1,,,
Lose It! - Calorie Counter,Steven Schumacher,"March 14, 2019",3,HEALTH_AND_FITNESS,2019-03-16,Good  Food page could be organized better  maybe show the top 3 for each letter and then be able to expand for the rest  My list of is getting long and its a pain to find repeat  Also  could add the option to sort by food type  meat  cheese,49.0,,,,1
Lose It! - Calorie Counter,Lisa Marie Crowe,"August 31, 2018",5,HEALTH_AND_FITNESS,2019-04-01,Love it  is easy,4.0,1,,,
Sweatcoin Pays You To Get Fit,Nellieis Deadinside,"March 30, 2019",2,HEALTH_AND_FITNESS,2019-04-01,it 1  000 is  1  but I  m sitting at 11  230 and I  made  2,16.0,,,,
Tag with Ryan,A Google User,"February 12, 2019",5,FAMILY,2019-04-14,my brother this game he all the  s,8.0,,,,
Amazon Alexa,Jun Chen,"January 31, 2019",1,MUSIC_AND_AUDIO,2019-04-14,not friendly to other  You need to change your system to to keep working,14.0,,,1,
Bitmoji – your personal emoji,Starri Gnostic,"April 10, 2019",5,ENTERTAINMENT,2019-04-21,I  m hooked after I found out they had my unique new hair color  Now I  made one on 5 friend  s so they can all use one  too  Some of them have trouble getting direct access through their messenger  s keyboard  but other than that it  s awesomely fun,50.0,,,1,
"Hulu: Stream TV, Movies & more",,"December 28, 2018",5,ENTERTAINMENT,2019-03-13,i love this,3.0,1,,,
Amazon Alexa,A Google User,"January 30, 2019",1,MUSIC_AND_AUDIO,2019-04-07,the more it the worse it to my  I dont use it for much for than  I have to close manually get the to play  for 30min  then nothing  yell to continue  and 1 out of 5 continue  the rest I have to force close and restart  So annoying  wont be a new one once it completely or I decide to physical destroy and just cable in my  is SO,70.0,,,1,
Google Play Games,Mukesh Saini,"April 11, 2019",5,ENTERTAINMENT,2019-04-14,it is a to play many,6.0,,,,
Tomb of the Mask,mridula Madaan,"March 27, 2019",5,GAME_ACTION,2019-04-21,tomb  of  the  mask  game  is  very  good,8.0,1,,,
Tinder,"Lyle, Watson","April 6, 2019",1,LIFESTYLE,2019-04-14,Help  I just got a new match and it  But few go by  I get a notification from said match  But I go to open the again and my match is still not showing up  What is going on ,39.0,,,1,
,William Oliveira,"April 29, 2019",5,EDUCATION,2019-05-01,Even better than before  Great system and  Really easy to use and learn ,13.0,1,,,
TurboTax Tax Return App – Max Refund Guaranteed,Ash Green,"April 13, 2019",1,FINANCE,2019-05-09,Surprise at the end  Ended up costing about  150 to file because they require deluxe to file schedule 4,19.0,,1,,
STARZ,A Google User,"December 3, 2018",5,ENTERTAINMENT,2019-04-21,It  s pretty awesome,4.0,1,,,
Sweatcoin Pays You To Get Fit,Joe Speeder,"March 6, 2019",5,HEALTH_AND_FITNESS,2019-03-24,run run run,3.0,,,,
ClassDojo,emerald block,"January 25, 2019",5,EDUCATION,2019-04-21,is a very good way to keep up on your child  s progress on a daily basis ,17.0,,1,,
,Heero 1447,"April 20, 2019",1,LIFESTYLE,2019-05-01,Now this endlessly that you have already on  Don  t waste any money on this garbage ,16.0,1,,,
PUBG MOBILE,Vikas Rathore,"April 21, 2019",5,GAME_ACTION,2019-04-21,this is tha best game of,6.0,1,,,
TurboTax Tax Return App – Max Refund Guaranteed,A Google User,"February 20, 2019",1,FINANCE,2019-04-01,I hate this and will never use turbo tax again ever ,11.0,1,,,
"Hulu: Stream TV, Movies & more",Sean Schlink,"January 31, 2019",1,ENTERTAINMENT,2019-03-24,Use to be able to use this without any issue for a long time  Just tried to log in and say I need to log in first at my house  never had to do that before  tried my password and still waiting for the after a couple  need to fix the mobile pretty bad hulu ,55.0,,,1,
,Traci Keith,"March 27, 2019",5,FINANCE,2019-05-01,easy to use  very helpful,5.0,1,,,
Lose Belly Fat in 30 Days - Flat Stomach,joy baylor,"March 28, 2019",5,HEALTH_AND_FITNESS,2019-05-09,love it  but wish it will to auto play after each without to click any buttons,16.0,,,,1
Fantastic Face – Daily face & Beauty Competition,A Google User,"February 23, 2019",1,LIFESTYLE,2019-04-07,charge me for every thing,5.0,,1,,
slither.io,Sad Otaibi,"March 20, 2019",4,GAME_ACTION,2019-04-01,Nice game but there is not sound and music,9.0,1,,,
Minion Rush: Despicable Me Official Game,stela zabileva,"March 22, 2019",5,FAMILY,2019-03-24,good game try this  game out,6.0,1,,,
Google Play Games,mohammed shehnaz Faiz,"April 17, 2019",5,ENTERTAINMENT,2019-04-21,very nice trial,3.0,1,,,
Photomath,,"February 25, 2019",5,EDUCATION,2019-03-08,got me 100,3.0,,,,
"Hulu: Stream TV, Movies & more",,"February 24, 2019",4,ENTERTAINMENT,2019-03-24,It  s a good streaming service  but the biggest issue is easily the  The ad length is way too long  Going up to 90  Just  no  The ad length should be at the most  30  not 90  But everything else is fine,42.0,,,1,
Fitbit,L Nel,"April 9, 2019",5,HEALTH_AND_FITNESS,2019-04-14,Can  t since last update  and now it won  t let me log in  password reset option  t available  I  d give the more if I could use it ,29.0,,,1,
,Michael Friedhaber,"April 21, 2019",4,MUSIC_AND_AUDIO,2019-05-01,could be easier to use,5.0,1,,,
Duolingo: Learn Languages Free,Jon Murphy,"May 3, 2019",5,EDUCATION,2019-05-09,I this to learn for an upcoming trip  A week later  i got an in and I was able to understand much of it ,24.0,,1,,
Roku,Jessica Etienne,"March 30, 2019",5,ENTERTAINMENT,2019-04-01,I love it ,3.0,1,,,
YouTube Music - Stream Songs & Music Videos,Deepak,"April 30, 2019",4,MUSIC_AND_AUDIO,2019-05-09,literally awesome sound quality  but it needs some work on home page  it super messy ,15.0,,,,1
Netflix,Aman Khurana,"April 16, 2019",5,ENTERTAINMENT,2019-04-21,One of the best on the store ,7.0,1,,,
Roblox,,"March 13, 2019",5,FAMILY,2019-03-13,I just love it for some reason,7.0,1,,,
"Hulu: Stream TV, Movies & more",Carrie Yancey,"March 20, 2019",5,ENTERTAINMENT,2019-03-24,love it all the variety of different of and,9.0,1,,,
Amazon Alexa,Tony Jose,"December 20, 2018",1,MUSIC_AND_AUDIO,2019-03-09,can  t use this,4.0,1,,,
,Cynthia Cornett,"April 28, 2019",5,LIFESTYLE,2019-05-01,love this  i can locate my son anywhere ,8.0,1,,,
Zelle,Joanna Thomas,"April 23, 2019",4,FINANCE,2019-05-09,I sometimes have trouble with someone the first time  but after that the is great ,15.0,1,,,
Tomb of the Mask,Marco Lee,"April 1, 2019",2,GAME_ACTION,2019-04-21,I really the game  But It 30sec advertise so frequently that interfere with the every progress and patience,18.0,,,1,
Duolingo: Learn Languages Free,A Google User,"March 31, 2019",5,EDUCATION,2019-04-01,bite size great,3.0,1,,,
Duolingo: Learn Languages Free,Pratibha Tiwari,"March 24, 2019",1,FAMILY,2019-03-24,It learn but  t show the option worthless,8.0,,,,
The PCH App,Amanda Cole,"March 11, 2019",5,LIFESTYLE,2019-04-07,They are doing a great job  I love the it is so easy to use  Its is fun to play the ,21.0,1,,,
ABCmouse.com,A Google User,"May 26, 2018",5,EDUCATION,2019-05-09,It  s a good game for little to learn so much,11.0,1,,,
Fresh EBT - Food Stamp Balance,Jessica Friend,"January 20, 2019",5,FINANCE,2019-03-08,it does take a good minute for to refresh  other than that not bad  no more receipts to be kept and helping save  one receipt and person at a time ,30.0,,1,,
Fresh EBT - Food Stamp Balance,A Google User,"February 20, 2019",5,FINANCE,2019-04-21,never have had a problem,5.0,1,,,
Duolingo: Learn Languages Free,Tavi Octavian,"April 7, 2019",1,FAMILY,2019-04-07,end this i want my back,6.0,1,,,
Duolingo: Learn Languages Free,Jessica Yang,"April 1, 2019",1,EDUCATION,2019-04-07,Prepare to be a lab rat and have crucial go missing,11.0,,,,
Drink Water Reminder: Water Tracker & Alarm,Kishore Cool,"April 5, 2019",5,HEALTH_AND_FITNESS,2019-04-14,excellent for summer,3.0,1,,,
STARZ,Shari DeClercq,"March 6, 2019",5,ENTERTAINMENT,2019-03-24,I am very happy with the that are on  Outlander is one of my favorite series ,16.0,1,,,
,Joseph Owen,"April 17, 2019",5,FINANCE,2019-05-01,great  great advice  credit karma help me raise my credit score considerably ,12.0,,1,,
Fantastic Face – Daily face & Beauty Competition,A Google User,"January 20, 2019",5,LIFESTYLE,2019-04-07,good good luck ,3.0,,,,
Zelle,Gino Ciferri,"January 2, 2019",1,FINANCE,2019-04-07,My bank is not listed on the link bank is not listed will not accept my first name saying invalid name  ,21.0,,,1,
"iHeartRadio - Free Music, Radio & Podcasts",Mark Garrett,"February 25, 2019",2,MUSIC_AND_AUDIO,2019-03-09,constantly  Some of the  like Morning Glory  every show when trying to listen to old  Can  t even listen at this point ,22.0,,,,
ClassDojo,"Anthony ,","February 11, 2019",1,EDUCATION,2019-04-14,i not cool,3.0,,,,
Remind: School Communication,Tonya Barton,"January 14, 2019",2,EDUCATION,2019-03-24,I am not too with this  It works for some but not for  I hope my granddaughter  s teacher to another  especially since will no longer support the text ,29.0,,1,,
Lose Belly Fat in 30 Days - Flat Stomach,Fatima Imad,"March 1, 2019",5,HEALTH_AND_FITNESS,2019-04-21,thank you for this  I hope it  s give me good result ,12.0,1,,,
,Virginia Hickman,"March 26, 2019",4,HEALTH_AND_FITNESS,2019-05-01,Wherever I need to I be Calm me there  Peacefully I go without fear ,14.0,1,,,
Lose It! - Calorie Counter,Symone Murdock,"May 10, 2018",4,HEALTH_AND_FITNESS,2019-03-16,The biggest downside to this is that it you to upgrade to the version  Other than that  it  s great ,20.0,,,1,
Pandora - Streaming Music & Podcasts,Loretta Smith,"April 9, 2019",5,MUSIC_AND_AUDIO,2019-04-21,its always awesome to listen for free even when you exit,11.0,1,,,
Free Music Player – Online & Offline MP3 Player,A Google User,"March 25, 2019",5,MUSIC_AND_AUDIO,2019-04-14,i do anything with this i is great,8.0,1,,,
,Jd Keilman,"April 29, 2019",3,ENTERTAINMENT,2019-05-01,nice to have at times for,6.0,1,,,
,HINDURAM SOY,"April 13, 2019",5,HEALTH_AND_FITNESS,2019-05-01,A very useful version on  I it ,7.0,1,,,
Pixel Art: Color by Number,Eduardo Chavez,"April 7, 2019",5,ENTERTAINMENT,2019-04-21,really fun and you in a good mood awesome game 10  10,12.0,1,,,
,Shuvadeep Paul,"April 28, 2019",3,ENTERTAINMENT,2019-05-01,white list my device for video streaming I am 5  1 plus and there is no way i can play in 720p or 1080p,24.0,,,,
ClassDojo,A Google User,"October 13, 2018",3,EDUCATION,2019-04-01,It want load in,4.0,,,,
Snowball.io,summer gatcha,"March 30, 2019",5,GAME_ACTION,2019-04-07,I love this game for,5.0,1,,,
Venmo Mobile Wallet: Send & Receive Money,justin bates,"March 12, 2019",1,FINANCE,2019-04-07,will not open,3.0,,,1,
DisneyNOW – Episodes & Live TV,A Google User,"March 19, 2019",5,FAMILY,2019-04-14,it  s just like the original channel all they need to add is more on,15.0,,,,1
Bowmasters,,"March 20, 2019",5,GAME_ACTION,2019-03-24,the game is awesome I  m for ur support,9.0,1,,,
Google Home,prashant anand motorcycling,"March 12, 2019",4,LIFESTYLE,2019-04-01,Its all good but the mirror link feature jitters  you need to work on it,15.0,,,1,
