0,processed_text,Rating,User Experience,Bug Report,Feature Report,Rating,User Experience,Bug Report,Feature Report,Rating,User Experience,Bug Report,Feature Report,
46,I like listening to the local radio on here  Really good ,1,0,0,0,1,0,0,0,1,0,0,0,
47,This is just a question  If you delete your hulu and it later it  t put your account back and i forgot my password but when you and it is your payment for each month be or will it stay cause please tell me it if it doesnt tell me a way to cancel the member ship,0,0,0,0,0,1,0,0,0,1,0,0,
48,i like it but way to much that the pause my music,0,1,0,0,1,0,0,0,0,0,0,1,
49,It is a fun game ,1,0,0,0,0,0,0,0,1,0,0,0,
50,I like it but it is actually sad cause if you don  t have a provider then most of your are locked   and most of the are hard so change that thanks ,0,0,0,1,0,0,0,1,0,0,0,1,
51,I like it can make own music,1,0,0,0,1,0,0,0,1,0,0,0,
52,this is awesome  very easy and  and world class support  delighted,1,0,0,0,0,1,0,0,1,0,0,0,
53,This is a life saver  Very convenient ,1,0,0,0,1,0,0,0,1,0,0,0,
54,worst don  t waste your time,1,0,0,0,1,0,0,0,1,0,0,0,
55,The is great but please fix playback  if phone screen is locked the music will stop after 5  10 or so  no such problem,0,0,0,1,0,0,0,1,0,0,0,1,
56,It is quite to play at starting and but after more than 20 u will easily get,0,0,0,0,0,1,0,0,0,0,1,0,
57,Very useful  no ,1,0,0,0,0,1,0,0,0,0,0,0,
58,it  s a good but it needs,1,0,0,0,1,0,0,0,1,0,0,0,
59,The are great,1,0,0,0,1,0,0,0,1,0,0,0,
60,very good this ,1,0,0,0,1,0,0,0,1,0,0,0,
61,They really care about their and the experience  Reliable  easy to use  and super helpful ,0,1,0,0,0,1,0,0,0,1,0,0,
62,Broke Fix was working evening i checked it again and this morning still the same stuff the update like it got worser please fix not working either,0,0,1,0,0,0,1,0,0,0,1,0,
63,Can you please one day add the language  ,0,0,0,1,0,1,0,0,0,0,0,1,
64,I absolutely love this  I just wish it was available on higher  you can  t get it  to my knowledge  the galaxy s7,0,0,1,0,0,0,0,1,0,0,0,1,
65,Please Make A Kitchen 3,0,0,0,1,1,0,0,0,0,0,0,1,
66,because you have good,0,0,0,0,1,0,0,0,1,0,0,0,
67,we love your good game so far,1,0,0,0,1,0,0,0,1,0,0,0,
68,I have never it ,0,0,0,0,1,0,0,0,1,0,0,0,
69, it is what it is ,1,0,0,0,1,0,0,0,1,0,0,0,
70,its very good of mathematics,1,0,0,0,1,0,0,0,1,0,0,0,
71,dumb its getting low on speed  not getting to view the content posted by as fast as by through wa,0,1,0,0,0,0,1,0,0,0,1,0,
72,this is practically useless if you dont pay  not sure of how much it when you do ,0,1,0,0,0,1,0,0,1,0,0,0,
73,add after every single time i open the and play a song i only get 1 song in before a stupid ad thats,0,0,1,0,0,1,0,0,0,0,1,0,
74,I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,0,0,1,0,0,1,0,0,0,0,1,0,
75,I love This Game,1,0,0,0,1,0,0,0,1,0,0,0,
76,Great  Better than most ,1,0,0,0,1,0,0,0,1,0,0,0,
77,really good I  m really happy drinking water,1,0,0,0,1,0,0,0,1,0,0,0,
78,really easy to use  Would however like to have water monitor included in this level ,0,1,0,0,0,0,0,1,0,0,0,1,
79,t working  S9 Plus running Android Pie,0,0,0,0,1,0,0,0,1,0,0,0,
80,I get too many  Hala tinder ,0,0,0,0,1,0,0,0,1,0,0,0,
81,V Like it ,1,0,0,0,1,0,0,0,1,0,0,0,
82,I love it but just upgrade it a bit,0,0,0,1,0,0,0,1,0,0,0,1,
83,Always been a fan love power to,1,0,0,0,1,0,0,0,1,0,0,0,
84,it is not working,0,0,1,0,1,0,0,0,1,0,0,0,
85,I it  alas it to be for and I wish for it to be free please  I have trouble sleeping each night without music and I love it but please take off the  Thank you all and good night ,0,0,0,1,0,0,0,1,0,0,0,1,
86,pretty good wit premium,1,0,0,0,1,0,0,0,1,0,0,0,
87,very easy to use and does what It  thank you,1,0,0,0,0,1,0,0,1,0,0,0,
88,would like to have a card instead of target,0,0,0,1,1,0,0,0,0,0,0,1,
89,I think it is a good ,1,0,0,0,1,0,0,0,1,0,0,0,
90,It  s so fun,1,0,0,0,1,0,0,0,1,0,0,0,
91,Easy to use  Good program whether you choose free or Plus ,0,1,0,0,0,1,0,0,0,1,0,0,
92,I will never use it  ever ,1,0,0,0,1,0,0,0,1,0,0,0,
93,Great way to learn and quiz yourself ,0,1,0,0,0,1,0,0,0,1,0,0,
94,Easy to use  Ability to enter food in    is really helpful  My main food challenge is portion control  so this is perfect for me ,0,1,0,0,0,1,0,0,0,1,0,0,
95,I  t want to be anywhere else but with,0,0,0,0,1,0,0,0,0,1,0,0,
96,I work for a large law firm in and frequently go to  This me greatly in dealing with the stress that these ,0,1,0,0,1,0,0,0,0,1,0,0,
97,extremely fun  great way to pass the time,1,0,0,0,1,0,0,0,1,0,0,0,
98,I like but is very hard make the but is cool,1,0,0,0,1,0,0,0,1,0,0,0,
99,good  exactly what I need  thank you ,1,0,0,0,1,0,0,0,1,0,0,0,
100,i never write but  THIS GAME ,1,0,0,0,1,0,0,0,1,0,0,0,
101,This is the worst in the world it just money when you can rate i will come straight to this it is a fake too i know that i got an add then it and guess the freak what  it nowhere near what it like in the add  NOT HAPPY   ,0,1,0,0,1,0,0,0,1,0,0,0,
102,this is perfect,1,0,0,0,1,0,0,0,1,0,0,0,
103,easy to use,1,0,0,0,1,0,0,0,1,0,0,0,
104,i love this Great start and meditation in,1,0,0,0,1,0,0,0,1,0,0,0,
105, T WORK AT ALL  ,1,0,0,0,1,0,0,0,1,0,0,0,
106,I love this ,1,0,0,0,1,0,0,0,1,0,0,0,
107,i find it to be a very and efficient way to solve math on various and,0,1,0,0,0,1,0,0,0,1,0,0,
108,It  s fun and a real on,1,0,0,0,1,0,0,0,1,0,0,0,
109,Good  Food page could be organized better  maybe show the top 3 for each letter and then be able to expand for the rest  My list of is getting long and its a pain to find repeat  Also  could add the option to sort by food type  meat  cheese,0,0,0,1,0,0,0,1,0,0,0,1,
110,Love it  is easy,1,0,0,0,1,0,0,0,1,0,0,0,
111,it 1  000 is  1  but I  m sitting at 11  230 and I  made  2,0,0,0,0,1,0,0,0,0,1,0,0,
112,my brother this game he all the  s,0,0,0,0,1,0,0,0,0,1,0,0,
113,not friendly to other  You need to change your system to to keep working,0,0,1,0,0,0,0,1,0,0,1,0,
114,I  m hooked after I found out they had my unique new hair color  Now I  made one on 5 friend  s so they can all use one  too  Some of them have trouble getting direct access through their messenger  s keyboard  but other than that it  s awesomely fun,0,0,1,0,0,0,1,0,0,0,1,0,
115,i love this,1,0,0,0,1,0,0,0,1,0,0,0,
116,the more it the worse it to my  I dont use it for much for than  I have to close manually get the to play  for 30min  then nothing  yell to continue  and 1 out of 5 continue  the rest I have to force close and restart  So annoying  wont be a new one once it completely or I decide to physical destroy and just cable in my  is SO,0,0,1,0,0,0,1,0,0,0,1,0,
117,it is a to play many,0,0,0,0,1,0,0,0,0,0,0,0,
118,tomb  of  the  mask  game  is  very  good,1,0,0,0,1,0,0,0,1,0,0,0,
119,Help  I just got a new match and it  But few go by  I get a notification from said match  But I go to open the again and my match is still not showing up  What is going on ,0,0,1,0,0,0,1,0,0,0,1,0,
120,Even better than before  Great system and  Really easy to use and learn ,1,0,0,0,0,1,0,0,1,0,0,0,
121,Surprise at the end  Ended up costing about  150 to file because they require deluxe to file schedule 4,0,1,0,0,0,1,0,0,0,1,0,0,
122,It  s pretty awesome,1,0,0,0,1,0,0,0,1,0,0,0,
123,run run run,0,0,0,0,1,0,0,0,0,1,0,0,
124,is a very good way to keep up on your child  s progress on a daily basis ,0,1,0,0,0,1,0,0,0,1,0,0,
125,Now this endlessly that you have already on  Don  t waste any money on this garbage ,1,0,0,0,1,0,0,0,1,0,0,0,
126,this is tha best game of,1,0,0,0,1,0,0,0,1,0,0,0,
127,I hate this and will never use turbo tax again ever ,1,0,0,0,1,0,0,0,1,0,0,0,
128,Use to be able to use this without any issue for a long time  Just tried to log in and say I need to log in first at my house  never had to do that before  tried my password and still waiting for the after a couple  need to fix the mobile pretty bad hulu ,0,0,1,0,0,0,1,0,0,0,1,0,
129,easy to use  very helpful,1,0,0,0,1,0,0,0,1,0,0,0,
130,love it  but wish it will to auto play after each without to click any buttons,0,0,0,1,0,0,0,1,0,0,0,1,
131,charge me for every thing,0,1,0,0,0,1,0,0,0,1,0,0,
132,Nice game but there is not sound and music,1,0,0,0,0,0,1,0,0,0,1,0,
133,good game try this  game out,1,0,0,0,1,0,0,0,1,0,0,0,
134,very nice trial,1,0,0,0,1,0,0,0,1,0,0,0,
135,got me 100,0,0,0,0,1,0,0,0,1,0,0,0,
136,It  s a good streaming service  but the biggest issue is easily the  The ad length is way too long  Going up to 90  Just  no  The ad length should be at the most  30  not 90  But everything else is fine,0,0,1,0,0,1,0,0,0,1,0,0,
137,Can  t since last update  and now it won  t let me log in  password reset option  t available  I  d give the more if I could use it ,0,0,1,0,0,0,1,0,0,0,1,0,
138,could be easier to use,1,0,0,0,1,0,0,0,1,0,0,0,
139,I this to learn for an upcoming trip  A week later  i got an in and I was able to understand much of it ,0,1,0,0,0,1,0,0,0,1,0,0,
140,I love it ,1,0,0,0,1,0,0,0,1,0,0,0,
141,literally awesome sound quality  but it needs some work on home page  it super messy ,0,0,0,1,0,0,0,1,0,0,0,1,
142,One of the best on the store ,1,0,0,0,1,0,0,0,1,0,0,0,
143,I just love it for some reason,1,0,0,0,1,0,0,0,1,0,0,0,
144,love it all the variety of different of and,1,0,0,0,1,0,0,0,1,0,0,0,
145,can  t use this,1,0,0,0,1,0,0,0,1,0,0,0,
146,love this  i can locate my son anywhere ,1,0,0,0,1,0,0,0,0,1,0,0,
147,I sometimes have trouble with someone the first time  but after that the is great ,1,0,0,0,0,1,0,0,0,1,0,0,
148,I really the game  But It 30sec advertise so frequently that interfere with the every progress and patience,0,0,1,0,0,1,0,0,0,0,0,1,
149,bite size great,1,0,0,0,1,0,0,0,1,0,0,0,
150,It learn but  t show the option worthless,0,0,0,0,1,0,0,0,0,0,0,0,
151,They are doing a great job  I love the it is so easy to use  Its is fun to play the ,1,0,0,0,0,1,0,0,1,0,0,0,
152,It  s a good game for little to learn so much,1,0,0,0,0,1,0,0,0,0,0,0,
153,it does take a good minute for to refresh  other than that not bad  no more receipts to be kept and helping save  one receipt and person at a time ,0,1,0,0,0,1,0,0,0,1,0,0,
154,never have had a problem,1,0,0,0,1,0,0,0,1,0,0,0,
155,end this i want my back,1,0,0,0,1,0,0,0,1,0,0,0,
156,Prepare to be a lab rat and have crucial go missing,0,0,0,0,1,0,0,0,0,0,0,0,
157,excellent for summer,1,0,0,0,1,0,0,0,1,0,0,0,
158,I am very happy with the that are on  Outlander is one of my favorite series ,1,0,0,0,1,0,0,0,1,0,0,0,
159,great  great advice  credit karma help me raise my credit score considerably ,0,1,0,0,0,1,0,0,0,1,0,0,
160,good good luck ,0,0,0,0,1,0,0,0,1,0,0,0,
161,My bank is not listed on the link bank is not listed will not accept my first name saying invalid name  ,0,0,1,0,0,0,1,0,0,0,1,0,
162,constantly  Some of the  like Morning Glory  every show when trying to listen to old  Can  t even listen at this point ,0,0,0,0,0,1,0,0,0,1,0,0,
163,i not cool,0,0,0,0,1,0,0,0,1,0,0,0,
164,I am not too with this  It works for some but not for  I hope my granddaughter  s teacher to another  especially since will no longer support the text ,0,1,0,0,0,1,0,0,0,1,0,0,
165,thank you for this  I hope it  s give me good result ,1,0,0,0,1,0,0,0,1,0,0,0,
166,Wherever I need to I be Calm me there  Peacefully I go without fear ,1,0,0,0,1,0,0,0,0,1,0,0,
167,The biggest downside to this is that it you to upgrade to the version  Other than that  it  s great ,0,0,1,0,0,1,0,0,0,0,1,0,
168,its always awesome to listen for free even when you exit,1,0,0,0,1,0,0,0,1,0,0,0,
169,i do anything with this i is great,1,0,0,0,1,0,0,0,1,0,0,0,
170,nice to have at times for,1,0,0,0,1,0,0,0,1,0,0,0,
171,A very useful version on  I it ,1,0,0,0,1,0,0,0,1,0,0,0,
172,really fun and you in a good mood awesome game 10  10,1,0,0,0,1,0,0,0,1,0,0,0,
173,white list my device for video streaming I am 5  1 plus and there is no way i can play in 720p or 1080p,0,0,0,0,0,1,0,0,0,1,0,0,
174,It want load in,0,0,0,0,1,0,0,0,0,0,1,0,
175,I love this game for,1,0,0,0,1,0,0,0,1,0,0,0,
176,will not open,0,0,1,0,0,0,1,0,0,0,1,0,
177,it  s just like the original channel all they need to add is more on,0,0,0,1,0,0,0,1,0,0,0,1,
178,the game is awesome I  m for ur support,1,0,0,0,1,0,0,0,1,0,0,0,
179,Its all good but the mirror link feature jitters  you need to work on it,0,0,1,0,0,0,1,0,0,0,1,0,
180,Intuitive with a useful tag system,1,0,0,0,0,1,0,0,1,0,0,0,
181,Accurate Just wish my actual faster,0,0,0,1,1,0,0,0,0,0,0,1,
182,hey  like this but today  1st it when it  t the active screen on my s9,0,0,0,0,1,0,0,0,0,0,1,0,
183,and then I have to go into the each time to open again  is this a setting,0,0,1,0,0,1,0,0,0,0,1,0,
184,you need to allow us to pick single,0,0,0,0,0,0,0,1,0,0,0,1,
185,it fun i feel like going to be with it,1,0,0,0,1,0,0,0,1,0,0,0,
186,Overall it is a good game but i have had it for almost a year and there are a lot of found  i still dont know how you are supposed to get and change your clothes  also when i play any game  whenever someone the chat my game up and becomes so  i know a few other people who have the same problem and sure there are a lot of other people with that problem too  if you are reading this please fix it  i love this game and want to keep it ,0,0,1,0,0,1,0,0,0,1,0,0,
187,amazing but money spending,1,0,0,0,1,0,0,0,1,0,0,0,
188,Me con  it  s the best,1,0,0,0,1,0,0,0,1,0,0,0,
189,great to keep in to in touch with and whats happening with your academic  just knowing whats on in general ,0,1,0,0,0,1,0,0,0,1,0,0,
190,It is the best by far,1,0,0,0,1,0,0,0,1,0,0,0,
191,My Account  was lost after i was searching  It just logged me out  even if i try to reset my password with my or phone number  it doesnt work  ,0,0,1,0,0,0,1,0,0,0,1,0,
192,I love this game because you can see want you are going to be older,1,0,0,0,1,0,0,0,1,0,0,0,
193,Cannot login to my account from the  it that the password is incorrect  I try to change my password and the system wrong password please re  enter,0,0,1,0,0,0,1,0,0,0,1,0,
194,really cool  lots of fun,1,0,0,0,1,0,0,0,1,0,0,0,
195,Love the open communication with  So helpful  Thanks Remind ,0,1,0,0,0,1,0,0,0,1,0,0,
196,This Game you to buy Premium as soon as you load it on  However  you can get a 3 day free trial  but it still your  It like a good game  due to graphics  but I would not recommend it,0,1,0,0,0,1,0,0,0,1,0,0,
197,still a better than music,0,0,0,0,1,0,0,0,1,0,0,0,
198,l love Pandora music and this Pandora is what  s up,1,0,0,0,1,0,0,0,1,0,0,0,
199,it is it to wait for 2 days,0,0,0,0,1,0,0,0,0,0,0,0,
200,bring back gravity take back the,0,0,0,0,1,0,0,0,0,0,0,1,
201,for and this  until the last couple of  randomly and music stopping  sometimes  sometimes now for no apparent reason particularly when phone screen is locked  s9  Also now cannot control via car Please sort it out,0,0,1,0,0,0,1,0,0,0,1,0,
202,It  s a game i think it  better than but had to delete cause of violence you know gun  s  It  s like your call of duty black 2  cod,0,0,0,0,0,1,0,0,0,1,0,0,
203,I love it,1,0,0,0,1,0,0,0,1,0,0,0,
204,i have a new and the is use full because i it we can create a new play new that is awesome and i say my is progamingmaster32 friend me i am very honest,0,0,0,0,0,1,0,0,0,1,0,0,
205,it is a really good and fun,1,0,0,0,1,0,0,0,1,0,0,0,
206,One of the all time best,1,0,0,0,1,0,0,0,1,0,0,0,
207,its very bad,1,0,0,0,1,0,0,0,1,0,0,0,
208,Excellent  en plus c  pour sports ,1,0,0,0,1,0,0,0,1,0,0,0,
209,horrible waste of time  i had to delete a bunch of good stuff on my phone just to fit this and it never worked wouldnt let me take a pic of my w2s or let me type it in it would change what i  useless,0,0,1,0,0,1,0,0,0,0,1,0,
210,does not on android q,0,0,0,0,1,0,0,0,0,0,1,0,
211,nice game i,1,0,0,0,1,0,0,0,1,0,0,0,
212,So interesting game,1,0,0,0,1,0,0,0,1,0,0,0,
213,Works good as long as you are connected to  if not my never go through,0,1,0,0,1,0,0,0,0,0,1,0,
214,Hidden that require essentially starting from scratch to opt out of  When I was finally ready to file I had over 140  worth of that were not disclosed up to that point,0,1,0,0,1,0,0,0,0,1,0,0,
215,incredibly easy to use and a wonderful tool for keeping track of and family ,0,1,0,0,1,0,0,0,1,0,0,0,
216,Much than Jenny,0,0,0,0,1,0,0,0,0,0,0,0,
217,is the best game ever,1,0,0,0,1,0,0,0,1,0,0,0,
218,i like hell,1,0,0,0,1,0,0,0,1,0,0,0,
219,great to use and keep track of credit score ,0,1,0,0,1,0,0,0,1,0,0,0,
220,I love it,1,0,0,0,1,0,0,0,1,0,0,0,
221,it works well enough  without any data  but I  never won cash with  ever in my lifetime of any game  Too many pesky for my liking  Free game  mostly a fast way to rack up fast   are usually  too  shame  it could have more interesting content than medication ,0,1,0,0,0,1,0,0,0,1,0,0,
222,literally the most helpful and useful math ever ,1,0,0,0,0,1,0,0,1,0,0,0,
223,It  s the worst  Whether you use it your bank or from the which after trying for 3 to set up on my phone I am still unable to and frankly gave up trying,0,1,0,0,0,1,0,0,0,0,1,0,
224,Credit karma is quick and to use and Credit Karma will have your BACK TO  and it you see your hard work pay off  thank you CREDIT KARMA   ,0,1,0,0,0,1,0,0,0,1,0,0,
225,LOVE IT NO,1,0,0,0,1,0,0,0,1,0,0,0,
226,I put my favorite instrumental on loop  and it me sleep through the night  Thanks Calm team ,0,1,0,0,0,1,0,0,0,1,0,0,
227,I really love the  I would be the happiest person in the world if I won ,0,1,0,0,1,0,0,0,0,1,0,0,
228,easy access for the most 911,1,0,0,0,1,0,0,0,1,0,0,0,
229,send too many,0,0,0,0,1,0,0,0,0,0,1,0,
230,let  s try u out how about I  rate u after I get my refund  The faster u are the more you get   2017,0,1,0,0,1,0,0,0,0,1,0,0,
231,this game is really fun and it kind of me when my day been stressful i can play this game and it me,1,0,0,0,0,1,0,0,0,1,0,0,
232,I it when the where one and done  now you have to win 5 to win a game its to long,0,1,0,0,1,0,0,0,0,1,0,0,
233,Wonderful free  I  found lots of cool stuff ,1,0,0,0,1,0,0,0,1,0,0,0,
234,every 30  its ridiculous,0,0,0,0,1,0,0,0,1,0,0,0,
235,this game is the best,1,0,0,0,1,0,0,0,1,0,0,0,
236,It is a great  But sometimes it a long time to load ,1,0,0,0,1,0,0,0,1,0,0,0,
237,excellent to use,1,0,0,0,1,0,0,0,1,0,0,0,
238,Very interesting indeed,1,0,0,0,1,0,0,0,1,0,0,0,
239,great very useful and easy to use,1,0,0,0,1,0,0,0,1,0,0,0,
240,The prime original series are really good ,1,0,0,0,1,0,0,0,1,0,0,0,
241,Still can  t use it on my One  phone  Thank goodness for,0,0,1,0,1,0,0,0,1,0,0,0,
242,Hulu is Awesome,1,0,0,0,1,0,0,0,1,0,0,0,
243,I love this because it best music and the quality of music is best ,1,0,0,0,1,0,0,0,1,0,0,0,
244,i love the game  cause when I play the game I love them but I have a LOT of 1st I saw that there  s so many and I hate that but more and that broke my  A FUN GAME,1,0,0,0,1,0,0,0,1,0,0,0,
245,Good way to communicate with,1,0,0,0,1,0,0,0,1,0,0,0,
246,hulu is pretty good they have now too as well as film,1,0,0,0,1,0,0,0,1,0,0,0,
247,love learning new,1,0,0,0,1,0,0,0,1,0,0,0,
248,very good lots of good,1,0,0,0,1,0,0,0,1,0,0,0,
249,Banking made easy,1,0,0,0,1,0,0,0,1,0,0,0,
250,its pretty fun,1,0,0,0,1,0,0,0,1,0,0,0,
251,The fact that it one  s sight and hearing  along with writing and repetition  it work very well for me ,0,1,0,0,1,0,0,0,0,1,0,0,
252,i don  t have a extremely,0,0,0,0,1,0,0,0,0,0,0,0,
253,a simple experience so far  but I  m not finished yet,0,1,0,0,1,0,0,0,1,0,0,0,
254,premium is premium,0,0,0,0,1,0,0,0,1,0,0,0,
255,tri ma de lunn,0,0,0,0,1,0,0,0,0,0,0,0,
256,it is perfect,1,0,0,0,1,0,0,0,1,0,0,0,
257,Love it Can  t Leave It Alone  ,1,0,0,0,1,0,0,0,1,0,0,0,
258,Can I please use f  debit card to get premium  Who is that who decided not to put pay debit card option in the  I  m very excited that finally is in  love u team  support debit card payment option  i really need premium account ,0,0,0,1,0,1,0,0,0,0,0,1,
259,I love this one and I love it when you make it,1,0,0,0,1,0,0,0,1,0,0,0,
260,This is Amazing i can use this all the time,1,0,0,0,1,0,0,0,1,0,0,0,
261,Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20 ,0,0,0,0,1,0,0,0,0,0,1,0,
262,this is the best for daily  and all type of I really this ,1,0,0,0,1,0,0,0,1,0,0,0,
263,it so much fun,1,0,0,0,1,0,0,0,1,0,0,0,
264,you can some fire on life ,0,0,0,0,1,0,0,0,0,1,0,0,
265,the is very user friendly  haven  t done this but would love it if I could pay for my and pick them up while shopping ,0,1,0,0,0,1,0,0,0,0,0,1,
266,It  s a simple that works in the background  but still me to keep track of any exercise that I do ,0,1,0,0,0,1,0,0,0,1,0,0,
267,Because you could,0,0,0,0,1,0,0,0,0,0,0,0,
268,music is my energy,0,0,0,0,1,0,0,0,1,0,0,0,
269,It is good but a lot of show up all the time but that  t bother me so its a great,0,1,0,0,1,0,0,0,1,0,0,0,
270,It is good but I can  t pay  It is very  but it beat thanks you,0,1,0,0,1,0,0,0,1,0,0,0,
271,I love it,1,0,0,0,1,0,0,0,1,0,0,0,
272,I grew up with ,0,0,0,0,1,0,0,0,0,1,0,0,
273,its great for on the go music and i really enjoy it,1,0,0,0,1,0,0,0,1,0,0,0,
274,I love it  it  s the best,1,0,0,0,1,0,0,0,1,0,0,0,
275,i like the type of music they feature on this and the is pretty cool,1,0,0,0,1,0,0,0,1,0,0,0,
276,its bad i have to pay i have no money,0,1,0,0,1,0,0,0,0,1,0,0,
277,Are The Song Very Good I love this,1,0,0,0,1,0,0,0,1,0,0,0,
278,Good way to keep up with daily balance,0,1,0,0,1,0,0,0,1,0,0,0,
279,So I had a problem upon entering the and I cannot retrieve my old account  I had a lot of on that account and it me that I had to experience this ,0,0,1,0,0,0,1,0,0,0,1,0,
280,fingerprint sign in  t work for me,0,0,1,0,1,0,0,0,0,0,1,0,
281,I hate the main character of Top Gear  is for everything  which is wrong with humanity  He give a about the planet  He  s just worried if his car will have 6 or 7  So I open up this and see this guy  I get a very negative feeling,0,1,0,0,1,0,0,0,0,1,0,0,
282,all the music I want however some very irritating that make it harder to use ,0,0,1,0,0,1,0,0,0,0,1,0,
283,love this so much you should get this,1,0,0,0,1,0,0,0,1,0,0,0,
