appTitle,userName,date,score,Category,date_ex,processed_text,wordcount,label
CVS/pharmacy,,27-Oct-18,3,HEALTH_AND_FITNESS,2019-03-24, it is what it is ,5,Rating
Photomath,Manish Kumar pandey,05-May-19,5,EDUCATION,2019-05-09,its very good of mathematics,5,Rating
Google Classroom,Satya Rockz,28-Mar-19,1,EDUCATION,2019-05-09,dumb its getting low on speed  not getting to view the content posted by as fast as by through wa,20,Bug
Tinder,Noya san,29-Mar-19,1,LIFESTYLE,2019-04-07,this is practically useless if you dont pay  not sure of how much it when you do ,17,Rating
,Oohh Shiitt,23-Apr-19,1,MUSIC_AND_AUDIO,2019-05-01,add after every single time i open the and play a song i only get 1 song in before a stupid ad thats ,23,Bug
SmartThings,Troy Mason,03-Feb-19,3,LIFESTYLE,2019-03-24,I use the hub through my Shield box  One of the biggest I have with this interface is that the hub will do a forced update EVERY single time I boot up my Shield  This boot up is something I do several times a day and the update FOREVER  This is a time factor independent of speed  I have connected to my Shield  It is a setting that cannot be ,70,Bug
ABCmouse.com,,21-Aug-18,5,EDUCATION,2019-03-08,I love This Game,4,Rating
Bank of America Mobile Banking,Sun Ce,14-Apr-19,5,FINANCE,2019-04-21,Great  Better than most ,4,Rating
Drink Water Reminder: Water Tracker & Alarm,xxx.itsyagurlucyxxx lol,17-Mar-19,5,HEALTH_AND_FITNESS,2019-03-24,really good I  m really happy drinking water,8,Rating
Lose It! - Calorie Counter,Suzanne Penley,21-Feb-19,4,HEALTH_AND_FITNESS,2019-05-09,really easy to use  Would however like to have water monitor included in this level ,15,Feature
Apple Music,Lebogang Nkosi,25-Feb-19,3,MUSIC_AND_AUDIO,2019-04-21, t working  S9 Plus running Android Pie,7,Rating
Tinder,Shlok Kulkarni,02-Apr-19,5,LIFESTYLE,2019-04-14,I get too many  Hala tinder ,6,Rating
Samsung Health,Hein Minn,07-Apr-19,5,HEALTH_AND_FITNESS,2019-05-09,V Like it ,3,Rating
ClassDojo,its queen jess!!!!,18-Oct-18,5,EDUCATION,2019-04-07,I love it but just upgrade it a bit,9,Feature
STARZ,Fredrick Dwayne Patton,23-Sep-18,5,ENTERTAINMENT,2019-03-24,Always been a fan love power to,7,Rating
SoundCloud - Music & Audio,A Google User,22-Mar-19,1,MUSIC_AND_AUDIO,2019-04-07,it is not working,4,Rating
"Calm - Meditate, Sleep, Relax",GalaxyCat,12-Mar-19,5,HEALTH_AND_FITNESS,2019-05-09,I it  alas it to be for and I wish for it to be free please  I have trouble sleeping each night without music and I love it but please take off the  Thank you all and good night ,39,Feature
Spotify - Music and Podcasts,Lawson Harkins,20-Apr-19,5,MUSIC_AND_AUDIO,2019-04-21,pretty good wit premium,4,Rating
"Notepad - Notes with Reminder, ToDo, Sticky notes",ANN H Wagner,29-Jan-19,5,LIFESTYLE,2019-03-13,very easy to use and does what It  thank you,10,Rating
The PCH App,A Google User,14-Mar-19,5,LIFESTYLE,2019-04-07,would like to have a card instead of target,9,Feature
Google Classroom,aniket chattopadhyay,20-Aug-18,4,EDUCATION,2019-04-07,I think it is a good ,6,Rating
Kahoot!,Gioconda Butler,27-Jun-18,5,EDUCATION,2019-04-14,It  s so fun,4,Rating
Duolingo: Learn Languages Free,Kyle Coleman,09-Apr-19,5,EDUCATION,2019-04-14,Easy to use  Good program whether you choose free or Plus ,11,UserExperience
Samsung Health,Marcus Lohre,28-Feb-19,1,HEALTH_AND_FITNESS,2019-03-16,I will never use it  ever ,6,Rating
Quizlet: Learn Languages & Vocab with Flashcards,Evangelos Raptodimos,20-Jan-19,5,EDUCATION,2019-04-14,Great way to learn and quiz yourself ,7,UserExperience
Lose It! - Calorie Counter,Sequoia Powers,21-Jul-18,5,HEALTH_AND_FITNESS,2019-04-01,Easy to use  Ability to enter food in    is really helpful  My main food challenge is portion control  so this is perfect for me ,24,UserExperience
Bank of America Mobile Banking,Monika Simonson,19-Mar-19,5,FINANCE,2019-03-24,I  t want to be anywhere else but with,9,UserExperience
"Calm - Meditate, Sleep, Relax",Malcolm Guidry,30-Jan-19,5,HEALTH_AND_FITNESS,2019-04-01,I work for a large law firm in and frequently go to  This me greatly in dealing with the stress that these ,22,UserExperience
Bowmasters,Sabrina Bethea,12-Apr-19,5,GAME_ACTION,2019-04-14,extremely fun  great way to pass the time,8,Rating
Kahoot!,Cesar Corona,27-Oct-18,4,EDUCATION,2019-03-08,I like but is very hard make the but is cool,11,Rating
"Notepad - Notes with Reminder, ToDo, Sticky notes",,18-Dec-18,5,LIFESTYLE,2019-03-24,good  exactly what I need  thank you ,7,Rating
Tomb of the Mask,karena anerak,27-Mar-19,1,GAME_ACTION,2019-04-07,i never write but  THIS GAME ,6,Rating
Ms.Sibyl - See Future Me,ZzWatermelonJuicezZ,24-Mar-19,1,LIFESTYLE,2019-03-24,This is the worst in the world it just money when you can rate i will come straight to this it is a fake too i know that i got an add then it and guess the freak what  it nowhere near what it like in the add  NOT HAPPY   ,50,Rating
Photomath,senuke nuke,31-Mar-19,5,EDUCATION,2019-04-21,this is perfect,3,Rating
,Colby Jennings,17-Mar-19,5,FINANCE,2019-05-01,easy to use,3,Rating
"Calm - Meditate, Sleep, Relax",Tishonie Chaudion,26-Feb-19,5,HEALTH_AND_FITNESS,2019-04-01,i love this Great start and meditation in,8,Rating
Amazon Alexa,Tiger Lee,11-Mar-19,1,MUSIC_AND_AUDIO,2019-05-09, T WORK AT ALL  ,4,Rating
Bitmoji – Your Personal Emoji,Fine Ass Amy Fresh,22-Mar-19,5,ENTERTAINMENT,2019-03-24,I love this ,3,Rating
Photomath,sage powdrell,28-Apr-19,5,EDUCATION,2019-05-09,i find it to be a very and efficient way to solve math on various and,16,UserExperience
Tag with Ryan,Guyguy Kiamenga,21-Apr-19,5,FAMILY,2019-05-09,It  s fun and a real on,7,Rating
Lose It! - Calorie Counter,Steven Schumacher,14-Mar-19,3,HEALTH_AND_FITNESS,2019-03-16,Good  Food page could be organized better  maybe show the top 3 for each letter and then be able to expand for the rest  My list of is getting long and its a pain to find repeat  Also  could add the option to sort by food type  meat  cheese  ,49,Feature
Lose It! - Calorie Counter,Lisa Marie Crowe,31-Aug-18,5,HEALTH_AND_FITNESS,2019-04-01,Love it  is easy,4,Rating
Sweatcoin Pays You To Get Fit,Nellieis Deadinside,30-Mar-19,2,HEALTH_AND_FITNESS,2019-04-01,it 1  000 is  1  but I  m sitting at 11  230 and I  made  2 ,16,UserExperience
Tag with Ryan,A Google User,12-Feb-19,5,FAMILY,2019-04-14,my brother this game he all the  s,8,UserExperience
Amazon Alexa,Jun Chen,31-Jan-19,1,MUSIC_AND_AUDIO,2019-04-14,not friendly to other  You need to change your system to to keep working,14,Bug
Bitmoji – your personal emoji,Starri Gnostic,10-Apr-19,5,ENTERTAINMENT,2019-04-21,I  m hooked after I found out they had my unique new hair color  Now I  made one on 5 friend  s so they can all use one  too  Some of them have trouble getting direct access through their messenger  s keyboard  but other than that it  s awesomely fun ,50,Bug
"Hulu: Stream TV, Movies & more",,28-Dec-18,5,ENTERTAINMENT,2019-03-13,i love this,3,Rating
Amazon Alexa,A Google User,30-Jan-19,1,MUSIC_AND_AUDIO,2019-04-07,the more it the worse it to my  I dont use it for much for than  I have to close manually get the to play  for 30min  then nothing  yell to continue  and 1 out of 5 continue  the rest I have to force close and restart  So annoying  wont be a new one once it completely or I decide to physical destroy and just cable in my  is SO ,70,Bug
Google Play Games,Mukesh Saini,11-Apr-19,5,ENTERTAINMENT,2019-04-14,it is a to play many,6,UserExperience
Tomb of the Mask,mridula Madaan,27-Mar-19,5,GAME_ACTION,2019-04-21,tomb  of  the  mask  game  is  very  good,8,Rating
Tinder,"Lyle, Watson",06-Apr-19,1,LIFESTYLE,2019-04-14,Help  I just got a new match and it  But few go by  I get a notification from said match  But I go to open the again and my match is still not showing up  What is going on ,39,Bug
,William Oliveira,29-Apr-19,5,EDUCATION,2019-05-01,Even better than before  Great system and  Really easy to use and learn ,13,Rating
TurboTax Tax Return App – Max Refund Guaranteed,Ash Green,13-Apr-19,1,FINANCE,2019-05-09,Surprise at the end  Ended up costing about  150 to file because they require deluxe to file schedule 4 ,19,UserExperience
STARZ,A Google User,03-Dec-18,5,ENTERTAINMENT,2019-04-21,It  s pretty awesome,4,Rating
Sweatcoin Pays You To Get Fit,Joe Speeder,06-Mar-19,5,HEALTH_AND_FITNESS,2019-03-24,run run run,3,UserExperience
ClassDojo,emerald block,25-Jan-19,5,EDUCATION,2019-04-21,is a very good way to keep up on your child  s progress on a daily basis ,17,UserExperience
,Heero 1447,20-Apr-19,1,LIFESTYLE,2019-05-01,Now this endlessly that you have already on  Don  t waste any money on this garbage ,16,Rating
PUBG MOBILE,Vikas Rathore,21-Apr-19,5,GAME_ACTION,2019-04-21,this is tha best game of,6,Rating
TurboTax Tax Return App – Max Refund Guaranteed,A Google User,20-Feb-19,1,FINANCE,2019-04-01,I hate this and will never use turbo tax again ever ,11,Rating
"Hulu: Stream TV, Movies & more",Sean Schlink,31-Jan-19,1,ENTERTAINMENT,2019-03-24,Use to be able to use this without any issue for a long time  Just tried to log in and say I need to log in first at my house  never had to do that before  tried my password and still waiting for the after a couple  need to fix the mobile pretty bad hulu ,55,Bug
,Traci Keith,27-Mar-19,5,FINANCE,2019-05-01,easy to use  very helpful,5,Rating
Lose Belly Fat in 30 Days - Flat Stomach,joy baylor,28-Mar-19,5,HEALTH_AND_FITNESS,2019-05-09,love it  but wish it will to auto play after each without to click any buttons,16,Feature
Fantastic Face – Daily face & Beauty Competition,A Google User,23-Feb-19,1,LIFESTYLE,2019-04-07,charge me for every thing,5,UserExperience
slither.io,Sad Otaibi,20-Mar-19,4,GAME_ACTION,2019-04-01,Nice game but there is not sound and music,9,Bug
Minion Rush: Despicable Me Official Game,stela zabileva,22-Mar-19,5,FAMILY,2019-03-24,good game try this  game out,6,Rating
Google Play Games,mohammed shehnaz Faiz,17-Apr-19,5,ENTERTAINMENT,2019-04-21,very nice trial,3,Rating
Photomath,,25-Feb-19,5,EDUCATION,2019-03-08,got me 100 ,3,Rating
"Hulu: Stream TV, Movies & more",,24-Feb-19,4,ENTERTAINMENT,2019-03-24,It  s a good streaming service  but the biggest issue is easily the  The ad length is way too long  Going up to 90  Just  no  The ad length should be at the most  30  not 90  But everything else is fine,42,UserExperience
Fitbit,L Nel,09-Apr-19,5,HEALTH_AND_FITNESS,2019-04-14,Can  t since last update  and now it won  t let me log in  password reset option  t available  I  d give the more if I could use it ,29,Bug
,Michael Friedhaber,21-Apr-19,4,MUSIC_AND_AUDIO,2019-05-01,could be easier to use,5,Rating
Duolingo: Learn Languages Free,Jon Murphy,03-May-19,5,EDUCATION,2019-05-09,I this to learn for an upcoming trip  A week later  i got an in and I was able to understand much of it ,24,UserExperience
Roku,Jessica Etienne,30-Mar-19,5,ENTERTAINMENT,2019-04-01,I love it ,3,Rating
YouTube Music - Stream Songs & Music Videos,Deepak,30-Apr-19,4,MUSIC_AND_AUDIO,2019-05-09,literally awesome sound quality  but it needs some work on home page  it super messy ,15,Feature
Netflix,Aman Khurana,16-Apr-19,5,ENTERTAINMENT,2019-04-21,One of the best on the store ,7,Rating
Roblox,,13-Mar-19,5,FAMILY,2019-03-13,I just love it for some reason,7,Rating
"Hulu: Stream TV, Movies & more",Carrie Yancey,20-Mar-19,5,ENTERTAINMENT,2019-03-24,love it all the variety of different of and,9,Rating
Amazon Alexa,Tony Jose,20-Dec-18,1,MUSIC_AND_AUDIO,2019-03-09,can  t use this,4,Rating
,Cynthia Cornett,28-Apr-19,5,LIFESTYLE,2019-05-01,love this  i can locate my son anywhere ,8,UserExperience
Zelle,Joanna Thomas,23-Apr-19,4,FINANCE,2019-05-09,I sometimes have trouble with someone the first time  but after that the is great ,15,UserExperience
Tomb of the Mask,Marco Lee,01-Apr-19,2,GAME_ACTION,2019-04-21,I really the game  But It 30sec advertise so frequently that interfere with the every progress and patience,18,Feature
Duolingo: Learn Languages Free,A Google User,31-Mar-19,5,EDUCATION,2019-04-01,bite size great,3,Rating
Duolingo: Learn Languages Free,Pratibha Tiwari,24-Mar-19,1,FAMILY,2019-03-24,It learn but  t show the option worthless,8,FALSE
The PCH App,Amanda Cole,11-Mar-19,5,LIFESTYLE,2019-04-07,They are doing a great job  I love the it is so easy to use  Its is fun to play the ,21,Rating
ABCmouse.com,A Google User,26-May-18,5,EDUCATION,2019-05-09,It  s a good game for little to learn so much,11,Rating
Fresh EBT - Food Stamp Balance,Jessica Friend,20-Jan-19,5,FINANCE,2019-03-08,it does take a good minute for to refresh  other than that not bad  no more receipts to be kept and helping save  one receipt and person at a time ,30,UserExperience
Fresh EBT - Food Stamp Balance,A Google User,20-Feb-19,5,FINANCE,2019-04-21,never have had a problem,5,Rating
Duolingo: Learn Languages Free,Tavi Octavian,07-Apr-19,1,FAMILY,2019-04-07,end this i want my back,6,Rating
Duolingo: Learn Languages Free,Jessica Yang,01-Apr-19,1,EDUCATION,2019-04-07,Prepare to be a lab rat and have crucial go missing,11,UserExperience
Drink Water Reminder: Water Tracker & Alarm,Kishore Cool,05-Apr-19,5,HEALTH_AND_FITNESS,2019-04-14,excellent for summer,3,Rating
STARZ,Shari DeClercq,06-Mar-19,5,ENTERTAINMENT,2019-03-24,I am very happy with the that are on  Outlander is one of my favorite series ,16,Rating
,Joseph Owen,17-Apr-19,5,FINANCE,2019-05-01,great  great advice  credit karma help me raise my credit score considerably ,12,UserExperience
Fantastic Face – Daily face & Beauty Competition,A Google User,20-Jan-19,5,LIFESTYLE,2019-04-07,good good luck ,3,Rating
Zelle,Gino Ciferri,02-Jan-19,1,FINANCE,2019-04-07,My bank is not listed on the link bank is not listed will not accept my first name saying invalid name  ,21,Bug
"iHeartRadio - Free Music, Radio & Podcasts",Mark Garrett,25-Feb-19,2,MUSIC_AND_AUDIO,2019-03-09,constantly  Some of the  like Morning Glory  every show when trying to listen to old  Can  t even listen at this point ,22,UserExperience
ClassDojo,"Anthony ,",11-Feb-19,1,EDUCATION,2019-04-14,i not cool,3,Rating
Remind: School Communication,Tonya Barton,14-Jan-19,2,EDUCATION,2019-03-24,I am not too with this  It works for some but not for  I hope my granddaughter  s teacher to another  especially since will no longer support the text ,29,UserExperience
Lose Belly Fat in 30 Days - Flat Stomach,Fatima Imad,01-Mar-19,5,HEALTH_AND_FITNESS,2019-04-21,thank you for this  I hope it  s give me good result ,12,Rating
,Virginia Hickman,26-Mar-19,4,HEALTH_AND_FITNESS,2019-05-01,Wherever I need to I be Calm me there  Peacefully I go without fear ,14,UserExperience
Lose It! - Calorie Counter,Symone Murdock,10-May-18,4,HEALTH_AND_FITNESS,2019-03-16,The biggest downside to this is that it you to upgrade to the version  Other than that  it  s great ,20,Bug
Pandora - Streaming Music & Podcasts,Loretta Smith,09-Apr-19,5,MUSIC_AND_AUDIO,2019-04-21,its always awesome to listen for free even when you exit,11,Rating
Free Music Player – Online & Offline MP3 Player,A Google User,25-Mar-19,5,MUSIC_AND_AUDIO,2019-04-14,i do anything with this i is great,8,Rating
,Jd Keilman,29-Apr-19,3,ENTERTAINMENT,2019-05-01,nice to have at times for,6,Rating
,HINDURAM SOY,13-Apr-19,5,HEALTH_AND_FITNESS,2019-05-01,A very useful version on  I it ,7,Rating
Pixel Art: Color by Number,Eduardo Chavez,07-Apr-19,5,ENTERTAINMENT,2019-04-21,really fun and you in a good mood awesome game 10  10,12,Rating
,Shuvadeep Paul,28-Apr-19,3,ENTERTAINMENT,2019-05-01,white list my device for video streaming I am 5  1 plus and there is no way i can play in 720p or 1080p,24,UserExperience
ClassDojo,A Google User,13-Oct-18,3,EDUCATION,2019-04-01,It want load in,4,Bug
Snowball.io,summer gatcha,30-Mar-19,5,GAME_ACTION,2019-04-07,I love this game for,5,Rating
Venmo Mobile Wallet: Send & Receive Money,justin bates,12-Mar-19,1,FINANCE,2019-04-07,will not open,3,Bug
DisneyNOW – Episodes & Live TV,A Google User,19-Mar-19,5,FAMILY,2019-04-14,it  s just like the original channel all they need to add is more on,15,Feature
Bowmasters,,20-Mar-19,5,GAME_ACTION,2019-03-24,the game is awesome I  m for ur support,9,Rating
Google Home,prashant anand motorcycling,12-Mar-19,4,LIFESTYLE,2019-04-01,Its all good but the mirror link feature jitters  you need to work on it,15,Bug
"Notepad - Notes with Reminder, ToDo, Sticky notes",Calvin Keyes,07-Mar-19,5,LIFESTYLE,2019-04-07,Intuitive with a useful tag system,6,Rating
IRS2Go,A Google User,04-Mar-15,5,FINANCE,2019-04-01,Accurate Just wish my actual faster,6,Feature
YouTube Music - Stream Songs & Music Videos,Daniel Glaser,01-Apr-19,1,MUSIC_AND_AUDIO,2019-04-07,hey  like this but today  1st it when it  t the active screen on my s9 ,16,Bug
YouTube Kids,brett10lisa,13-Apr-19,2,FAMILY,2019-05-09,and then I have to go into the each time to open again  is this a setting,17,Bug
"iHeartRadio - Free Music, Radio & Podcasts",Assassin X,26-Mar-19,5,MUSIC_AND_AUDIO,2019-04-01,you need to allow us to pick single,8,Feature
Fantastic Face – Daily face & Beauty Competition,Earnest Cornwell,10-Feb-19,5,LIFESTYLE,2019-04-14,it fun i feel like going to be with it,10,Rating
Roblox,Ashley Webster,07-Apr-19,3,FAMILY,2019-04-07,Overall it is a good game but i have had it for almost a year and there are a lot of found  i still dont know how you are supposed to get and change your clothes  also when i play any game  whenever someone the chat my game up and becomes so  i know a few other people who have the same problem and sure there are a lot of other people with that problem too  if you are reading this please fix it  i love this game and want to keep it ,93,UserExperience
Amazon Prime Video,Sulabha Selokar,21-Apr-19,5,ENTERTAINMENT,2019-04-21,amazing but money spending,4,Rating
